Employee ID,Basic Salary,House Rent Allowance,Travel Allowance,Provident Fund,Income Tax,Insurance,Professional Tax,ESIC
EMP0001,723554,144710,14471,86826,0.05,21706,200,28942
EMP0002,433244,86648,8664,51989,0.1,12997,200,17329
EMP0003,931201,186240,18624,111744,0.05,27936,200,37248
,,,,,,,,
EMP0005,687162,137432,13743,82459,0.1,20614,200,27486
EMP0006,701364,140272,14027,84163,0.05,21040,200,28054
EMP0007,752045,150409,15040,90245,0.05,22561,200,30081
EMP0008,647851,129570,12957,77742,0.1,19435,200,25914
EMP0009,879910,175982,17598,105589,0.05,26397,200,35196
EMP0010,383125,76625,7662,45975,0.1,11493,200,15325
EMP0011,398612,79722,7972,47833,0.1,11958,200,15944
EMP0012,766553,153310,15331,91986,0.05,22996,200,30662
EMP0013,598955,119791,11979,71874,0.1,17968,200,23958
EMP0014,439959,87991,8799,52795,0.1,13198,200,17598
EMP0015,685841,137168,13716,82300,0.1,20575,200,27433
EMP0016,410569,82113,8211,49268,0.1,12317,200,16422
EMP0017,361839,72367,7236,43420,0.1,10855,200,14473
EMP0018,930268,186053,18605,111632,0.05,27908,200,37210
EMP0019,891499,178299,17829,106979,0.05,26744,200,35659
EMP0020,545589,109117,10911,65470,0.1,16367,200,21823
EMP0021,647334,129466,12946,77680,0.1,19420,200,25893
EMP0022,878635,175727,17572,105436,0.05,26359,200,35145
EMP0023,376300,75260,7526,45156,0.1,11289,200,15052
EMP0024,765440,153088,15308,91852,0.05,22963,200,30617
EMP0025,526992,105398,10539,63239,0.1,15809,200,21079
EMP0026,493709,98741,9874,59245,0.1,14811,200,19748
EMP0027,771747,154349,15434,92609,0.05,23152,200,30869
EMP0028,307653,61530,6153,36918,0.1,9229,200,12306
EMP0029,338273,67654,6765,40592,0.1,10148,200,13530
EMP0030,790256,158051,15805,94830,0.05,23707,200,31610
EMP0031,513236,102647,10264,61588,0.1,15397,200,20529
EMP0032,543526,108705,10870,65223,0.1,16305,200,21741
