Cost,Life,Weight
919,7,41
817,12,44
230,9,50
618,9,2
821,6,12
240,11,36
161,9,23
818,2,6
904,5,47
219,3,24
533,2,45
624,6,17
387,3,9
159,7,32
717,5,42
263,9,49
677,8,46
150,9,17
183,11,15
669,9,2
551,10,32
227,6,16
406,10,32
254,3,17
679,12,2
707,2,50
533,7,22
796,2,3
370,4,15
411,1,24
914,8,29
174,6,13
526,12,38
171,2,25
659,7,8
950,2,21
510,3,7
784,6,42
107,7,43
986,11,22
965,6,40
789,8,5
145,8,36
382,11,10
756,9,42
227,10,19
437,8,28
232,4,24
123,2,44
224,2,25
646,3,12
937,8,12
623,9,16
773,5,17
748,9,30
365,1,9
946,2,36
988,11,6
235,7,1
699,11,5
179,5,6
108,5,43
637,10,42
408,2,24
672,9,21
667,6,5
234,9,32
469,1,41
796,1,34
430,12,12
475,1,36
484,12,40
927,11,30
102,10,36
410,7,25
773,1,24
560,9,1
127,6,43
816,11,49
902,10,9
908,1,28
833,10,23
247,9,27
266,3,41
207,3,5
418,10,45
835,6,38
209,5,18
369,4,11
651,8,34
739,12,45
263,2,13
973,12,6
882,5,27
108,1,2
875,3,8
493,5,50
796,5,30
485,3,15
552,10,29
